Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Rating
Cabela's Trophy Bucks,Wii,2008.0,Sports,Activision Value,0.06,0.0,0.0,T
Driv3r,PS2,2004.0,Racing,Atari,0.6,0.47,0.0,M
Tokimeki Memorial 4,PSP,2009.0,Adventure,Konami Digital Entertainment,0.0,0.0,0.08,E
World Soccer Winning Eleven 7 International,PS2,2003.0,Sports,Konami Digital Entertainment,0.08,1.24,1.13,E
J-League Soccer: Prime Goal,SNES,1993.0,Sports,Namco Bandai Games,0.0,0.0,0.69,E
Final Fantasy IX,PS,2000.0,Role-Playing,SquareSoft,1.62,0.77,2.78,T
SD Gundam Force: Showdown!,PS2,2004.0,Shooter,Namco Bandai Games,0.02,0.01,0.0,E
Armored Core: Last Raven Portable,PSP,2010.0,Simulation,From Software,0.0,0.0,0.03,T
FaceBreaker,X360,2008.0,Fighting,Electronic Arts,0.15,0.02,0.0,T
Kaboom!,2600,1980.0,Misc,Activision,1.07,0.07,0.0,E
Jurassic Park: Operation Genesis,XB,2003.0,Simulation,Konami Digital Entertainment,0.05,0.01,0.0,T
Whirl Tour,GC,2002.0,Sports,Vivendi Games,0.04,0.01,0.0,E
DuckTales: Remastered,PC,2013.0,Action,Capcom,0.0,0.01,0.0,E
Dark Sector,X360,2008.0,Shooter,D3Publisher,0.22,0.2,0.01,M
Namco Museum: 50th Anniversary,XB,2005.0,Misc,Namco Bandai Games,0.13,0.04,0.0,E10+
Resident Evil Director's Cut,PS3,2006.0,Action,Capcom,0.0,0.0,0.05,E
Midnight Club II,XB,2003.0,Racing,Take-Two Interactive,0.42,0.06,0.0,T
Triple Play 2002,XB,2002.0,Sports,Electronic Arts,0.19,0.05,0.0,E
Tetris Worlds,GBA,2001.0,Puzzle,THQ,1.25,0.39,0.0,E
Prototype: Biohazard Bundle,XOne,2016.0,Action,Activision,0.01,0.0,0.0,M
Diva Girls: Divas on Ice,DS,2009.0,Sports,505 Games,0.05,0.0,0.0,E
Skylanders: SuperChargers,3DS,2015.0,Action,Activision,0.05,0.06,0.0,E10+
Chuck E. Cheese's Sports Games,Wii,2011.0,Sports,UFO Interactive,0.02,0.0,0.0,E
Kingdom of Paradise,PSP,2005.0,Role-Playing,Sony Computer Entertainment,0.14,0.0,0.0,T
Spider-Man 3,PC,2007.0,Platform,Activision,0.02,0.0,0.0,T
The Getaway: Black Monday,PS2,2004.0,Action,Sony Computer Entertainment,0.39,1.01,0.02,M
Men in Black II: Alien Escape,GC,2003.0,Shooter,Infogrames,0.01,0.0,0.0,T
Godzilla Generations,DC,1998.0,Action,Sega,0.0,0.0,0.08,E
NBA Live 14,XOne,2013.0,Sports,Electronic Arts,0.16,0.02,0.0,E
Dynasty Warriors 2,PS2,2000.0,Action,THQ,0.24,0.19,0.34,T
Brothers In Arms: Road to Hill 30,XB,2005.0,Shooter,Ubisoft,0.49,0.14,0.0,M
Fantastic Four: Rise of the Silver Surfer,Wii,2007.0,Action,Take-Two Interactive,0.04,0.01,0.0,T
Winning Post World 2010,PS3,2010.0,Sports,Tecmo Koei,0.0,0.0,0.04,E
NHL 14,PS3,2013.0,Sports,Electronic Arts,0.28,0.17,0.0,E10+
LEGO Marvel Super Heroes,DS,2013.0,Action,Warner Bros. Interactive Entertainment,0.22,0.13,0.0,E10+
Kikiite Hajimaru: Eigo Kaiwa Training - KikiTore,DS,2008.0,Misc,Benesse,0.0,0.0,0.01,E
Fighters Uncaged,X360,2010.0,Fighting,Ubisoft,0.31,0.23,0.0,T
The Godfather (US sales),XB,2006.0,Action,Electronic Arts,0.33,0.1,0.0,E
LEGO Star Wars III: The Clone Wars,DS,2011.0,Action,LucasArts,0.61,0.38,0.0,E
Pinball Hall of Fame: The Gottlieb Collection,Wii,2006.0,Misc,System 3 Arcade Software,0.12,0.0,0.0,E
Army Men: Air Combat - The Elite Missions,GC,2003.0,Shooter,3DO,0.01,0.0,0.0,E
Jikkyou Powerful Pro Yakyuu 2014,PS3,2014.0,Sports,Konami Digital Entertainment,0.0,0.0,0.17,E
K-ON! Houkago Live!!,PSP,2010.0,Misc,Sega,0.0,0.0,0.25,E
Rugby Challenge 3,X360,2016.0,Sports,Alternative Software,0.0,0.02,0.0,E
Classic Dungeon: Fuyoku no Masoujin,PSP,2010.0,Role-Playing,Nippon Ichi Software,0.0,0.0,0.03,E
Romancing SaGa 2,SNES,1993.0,Role-Playing,SquareSoft,0.0,0.0,1.17,E
Gameboy Gallery,GB,1995.0,Misc,Nintendo,0.0,0.0,0.3,E
J.League Pro Soccer Club o Tsukurou! 8 Euro Plus,PSP,2013.0,Sports,Sega,0.0,0.0,0.04,E
Melty Blood: Actress Again,PS2,2009.0,Fighting,Ecole,0.0,0.0,0.06,E
Tom Clancy's HAWX 2,X360,2010.0,Action,Ubisoft,0.24,0.09,0.01,T
Incredible Crisis,PS,1999.0,Action,Titus,0.04,0.03,0.0,T
Polaris SnoCross,PS,2000.0,Racing,Vatical Entertainment,0.09,0.06,0.0,E
Top Angler: Real Bass Fishing,PS2,2002.0,Sports,Xicat Interactive,0.05,0.04,0.0,E
Wipeout 2,X360,2011.0,Misc,Activision,0.25,0.0,0.0,E10+
Deep Fear,SAT,1998.0,Adventure,Sega,0.0,0.0,0.08,E
Deponia,PC,2012.0,Adventure,Daedalic,0.0,0.13,0.0,E
Just Dance 4,X360,2012.0,Misc,Ubisoft,0.9,0.19,0.0,E10+
Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.61,10.93,3.28,E
You Don't Know Jack,X360,2011.0,Misc,THQ,0.19,0.0,0.0,T
Activision Anthology,GBA,2003.0,Misc,Activision,0.03,0.01,0.0,E
.hack//Mutation Part 2,PS2,2002.0,Role-Playing,Atari,0.23,0.18,0.2,T
Impossible Creatures,PC,2002.0,Strategy,Microsoft Game Studios,0.0,0.01,0.0,T
Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,Nintendo,6.16,2.04,2.69,E
Brave: The Video Game,DS,2012.0,Action,Disney Interactive Studios,0.0,0.01,0.0,E10+
Hitman Trilogy,PS2,2007.0,Action,Eidos Interactive,0.05,0.04,0.0,M
Powerdrome,PS2,2004.0,Racing,Evolved Games,0.03,0.02,0.0,T
Shin Megami Tensei NINE,XB,2002.0,Role-Playing,Atlus,0.0,0.0,0.05,E
Sonic the Hedgehog,PS3,E,Platform,E,0.0,0.48,0.0,E10+
Robotics;Notes,PSV,2014.0,Adventure,5pb,0.0,0.0,0.02,E
Need for Speed: Most Wanted,XB,2005.0,Racing,Electronic Arts,0.53,0.46,0.0,T
Lucky Luke,PS,1998.0,Platform,Ocean,0.13,0.09,0.0,E
Spirit Camera: The Cursed Memoir,3DS,2012.0,Adventure,Nintendo,0.13,0.02,0.06,T
Street Hoops,XB,2002.0,Sports,Activision,0.21,0.06,0.0,T
New Legends,XB,2002.0,Action,THQ,0.07,0.02,0.0,T
Battle Worlds: Kronos,PC,2016.0,Strategy,Nordic Games,0.0,0.01,0.0,E
Midway Arcade Treasures 2,XB,2004.0,Misc,Midway Games,0.24,0.05,0.0,M
Ford Mustang: The Legend Lives,XB,2005.0,Racing,Take-Two Interactive,0.07,0.02,0.0,E
Rabbids Invasion: The Interactive TV Show,PS4,2014.0,Misc,Ubisoft,0.0,0.01,0.0,E
Armored Core: Silent Line,PS2,2003.0,Simulation,Agetec,0.07,0.06,0.16,E
Imagine: Teacher Class Trip,DS,2009.0,Adventure,Ubisoft,0.1,0.12,0.0,E
F1 2011,3DS,2011.0,Racing,Codemasters,0.07,0.08,0.0,E
Monsters vs. Aliens,PS3,2009.0,Action,Activision,0.21,0.05,0.0,E10+
NBA Live 2001,PS2,2001.0,Sports,Electronic Arts,0.52,0.4,0.04,E
The Walking Dead: Season One,XOne,2014.0,Adventure,Telltale Games,0.08,0.06,0.0,E
TimeShift,X360,2007.0,Shooter,Vivendi Games,0.36,0.02,0.0,M
Middle-Earth: Shadow of Mordor,XOne,2014.0,Action,Warner Bros. Interactive Entertainment,0.73,0.5,0.01,M
Kirby's Return to Dreamland,Wii,2011.0,Platform,Nintendo,0.58,0.21,0.79,E10+
Star Wars: Battlefront,PS2,2004.0,Shooter,LucasArts,1.93,1.22,0.03,T
Ribbit King,GC,2003.0,Sports,Atari,0.04,0.01,0.0,E
Deception III: Dark Delusion,PS,1999.0,Role-Playing,Tecmo Koei,0.02,0.01,0.0,E
Kiniro no Corda 2,PS2,2007.0,Role-Playing,Tecmo Koei,0.0,0.0,0.06,E
Taiko no Tatsujin: Doki! Shinkyoku Darake no Haru Matsuri,PS2,2003.0,Misc,Namco Bandai Games,0.0,0.0,0.44,E
Team Elimination Games,Wii,2009.0,Misc,Ubisoft,0.07,0.0,0.0,E
Transformers: Devastation,PC,2015.0,Action,Activision,0.0,0.03,0.0,T
Pirates of the Caribbean: At World's End,PS2,2007.0,Action,Disney Interactive Studios,0.2,0.16,0.0,T
Fantavision,PS2,2000.0,Puzzle,Sony Computer Entertainment,0.14,0.11,0.19,E
Chronicles of the Sword,PS,1996.0,Adventure,Psygnosis,0.03,0.02,0.0,E
Lethal Enforcers,SNES,1993.0,Shooter,Konami Digital Entertainment,0.0,0.0,0.09,E
Gunblade NY & L.A. Machineguns Arcade Hits Pack,Wii,2010.0,Shooter,Sega,0.06,0.01,0.0,E
Ultimate NES Remix,3DS,2014.0,Action,Unknown,0.15,0.09,0.0,E
Tales of the World: Reve Unitia,3DS,2014.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.11,E
Fritz Chess,Wii,2009.0,Strategy,Deep Silver,0.02,0.0,0.0,E
Vitamin X to Z,PSP,2011.0,Adventure,D3Publisher,0.0,0.0,0.06,E
Harry Potter and the Order of the Phoenix,PSP,2007.0,Action,Electronic Arts,0.1,0.17,0.0,E10+
Deception IV: Blood Ties,PSV,2014.0,Action,Tecmo Koei,0.02,0.02,0.07,M
Momotarou Dentetsu Tag Match: Yuujou - Doryoku - Shouri no Maki!,PSP,2010.0,Misc,Hudson Soft,0.0,0.0,0.07,E
Slime MoriMori Dragon Quest: Shougeki No Shippo Dan,GBA,2003.0,Adventure,Square Enix,0.0,0.0,0.36,E
Conan,PS3,2007.0,Action,THQ,0.13,0.15,0.0,M
Sniper Elite 3,X360,2014.0,Shooter,505 Games,0.16,0.12,0.0,M
"Ni Hao, Kai-lan: New Year's Celebration",DS,2009.0,Misc,Take-Two Interactive,0.19,0.0,0.0,EC
Disney Infinity 3.0,XOne,2015.0,Action,Disney Interactive Studios,0.2,0.11,0.0,E
Binary Star,PSV,2014.0,Adventure,Idea Factory,0.0,0.0,0.01,E
James Bond 007: Nightfire,GBA,2003.0,Shooter,Electronic Arts,0.1,0.04,0.0,T
Arcana Heart,PS2,2007.0,Fighting,AQ Interactive,0.06,0.05,0.04,T
Dora the Explorer: Super Spies,GBA,2004.0,Platform,Gotham Games,0.44,0.16,0.0,E
MLB SlugFest 2006,PS2,2006.0,Sports,Midway Games,0.13,0.1,0.0,E10+
Football Manager 2005,PC,2004.0,Sports,Sega,0.0,0.01,0.0,E
Tamagotchi Connection: Corner Shop 3,DS,2007.0,Simulation,Atari,0.06,0.0,0.31,E
Lunar: Silver Star Harmony,PSP,2009.0,Role-Playing,GungHo,0.19,0.0,0.03,T
Space Battleship Yamato: Harukanaru Hoshi Iscandar,PS,1999.0,Strategy,Namco Bandai Games,0.0,0.0,0.16,E
Personal Trainer: Math,DS,2007.0,Puzzle,Nintendo,0.48,1.12,0.0,E
Tokimeki Memorial Girl's Side 1st Love Plus,DS,2009.0,Adventure,Konami Digital Entertainment,0.0,0.0,0.03,E
Alvin and the Chipmunks,Wii,2007.0,Misc,Eidos Interactive,0.05,0.0,0.0,E
PowerSlave,PS,1996.0,Shooter,BMG Interactive Entertainment,0.02,0.01,0.0,E
Dead Rising 2: Off the Record,PC,2011.0,Action,Capcom,0.04,0.02,0.0,M
Tennis no Oji-Sama: Motto Gakuensai no Ouji-Sama - More Sweet Edition,DS,2010.0,Sports,Konami Digital Entertainment,0.0,0.0,0.1,E
Tenchu: Stealth Assassins,PS,1997.0,Action,Activision,0.95,0.64,0.27,M
Conflict: Denied Ops,X360,2008.0,Shooter,Eidos Interactive,0.08,0.09,0.0,M
Divinity II: Ego Draconis,PC,2009.0,Role-Playing,DTP Entertainment,0.01,0.05,0.0,M
Queen's Blade: Spiral Chaos,PSP,2009.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.11,E
Golden Nugget Casino,GBA,2004.0,Misc,Majesco Entertainment,0.18,0.07,0.0,E
Pool Hall Pro,Wii,2009.0,Sports,Playlogic Game Factory,0.04,0.0,0.0,E
Tropico 3: Gold Edition,PC,2010.0,Strategy,Kalypso Media,0.0,0.01,0.0,T
Aliens: Colonial Marines,PS3,2013.0,Shooter,Sega,0.2,0.29,0.0,M
Disney's The Emperor's New Groove,PS,2000.0,Platform,Sony Computer Entertainment,0.17,0.12,0.0,E
Adventure Time: Finn & Jake Investigations,3DS,2015.0,Action,Little Orbit,0.03,0.05,0.0,E
Football Manager 2013,PC,2012.0,Sports,Sega,0.0,0.95,0.0,E
Wild West Shootout,Wii,2010.0,Shooter,Unknown,0.01,0.01,0.0,T
Toukiden Kiwami,PS4,2015.0,Action,Tecmo Koei,0.05,0.07,0.02,T
The Binding of Isaac,PC,2012.0,Action,Unknown,0.0,0.03,0.0,E
M&Ms Shell Shocked,PS,2001.0,Action,Berkeley,0.02,0.01,0.0,E
High School Musical: Sing It!,PS2,2007.0,Misc,Disney Interactive Studios,0.47,0.08,0.0,E
Frogger Advance: The Great Quest,GBA,2002.0,Action,Konami Digital Entertainment,0.05,0.02,0.0,E
NASCAR Unleashed,X360,2011.0,Racing,Activision,0.11,0.0,0.0,E
Winning Post 8 2015,PSV,2015.0,Action,Tecmo Koei,0.0,0.0,0.02,E
ExciteBots: Trick Racing,Wii,2009.0,Racing,Nintendo,0.24,0.0,0.0,E
John Deere: Harvest in the Heartland,DS,2007.0,Simulation,Ubisoft,0.23,0.03,0.0,E
Bugs Bunny: Lost in Time,PS,1999.0,Platform,Infogrames,0.22,0.15,0.0,E
Bombastic,PS2,2002.0,Puzzle,Capcom,0.03,0.02,0.0,E
Imagine: Master Chef,DS,2007.0,Simulation,Ubisoft,0.39,0.91,0.0,E
Ice Hockey,2600,1980.0,Sports,Activision,0.46,0.03,0.0,E
Picture Perfect Hair Salon,DS,2009.0,Simulation,505 Games,0.07,0.0,0.0,E
Battlefield 2: Modern Combat,PS2,2005.0,Shooter,Electronic Arts,0.37,0.01,0.0,T
Pro Race Driver,PS2,2002.0,Racing,Codemasters,0.13,0.1,0.0,T
AMF Xtreme Bowling,PS2,2006.0,Sports,Mastertronic,0.01,0.01,0.0,E
Pac 'n Roll,DS,2005.0,Platform,Namco Bandai Games,0.09,0.0,0.02,E
The Conveni: Ano Machi wo Dokusen Seyo,PS,1997.0,Simulation,Human Entertainment,0.0,0.0,0.3,E
Hisshou Pachinko * Pachi-Slot Kouryaku Series Portable Vol. 2: CR Evangelion - Hajimari no Fukuin,PSP,2010.0,Misc,D3Publisher,0.0,0.0,0.02,E
Sakura Sakura: Haru Urara,PSP,2010.0,Adventure,GN Software,0.0,0.0,0.01,E
Legends of Wrestling II,GBA,2002.0,Fighting,Acclaim Entertainment,0.05,0.02,0.0,E
Tiger Woods PGA Tour 2003,GC,2002.0,Sports,Electronic Arts,0.18,0.05,0.0,E
Commando,2600,1987.0,Action,Activision,0.44,0.02,0.0,E
Super Puyo Puyo,SNES,1993.0,Puzzle,Banpresto,0.0,0.0,1.69,E
Just Dance 2016,PS4,2015.0,Misc,Ubisoft,0.17,0.13,0.0,E10+
To Heart 2 DX Plus,PS3,2011.0,Adventure,Aqua Plus,0.0,0.0,0.05,E
Star Wars: Knights of the Old Republic,PC,2003.0,Role-Playing,LucasArts,0.01,0.1,0.0,T
Legend of the Guardians: The Owls of Ga'Hoole,X360,2010.0,Action,Warner Bros. Interactive Entertainment,0.06,0.01,0.0,E10+
Petz Wild Animals: Dolphinz,DS,2007.0,Simulation,Ubisoft,0.71,0.48,0.0,E
Cars: Race-O-Rama,X360,2009.0,Racing,THQ,0.14,0.01,0.0,E
7 Days to Die,PS4,2016.0,Action,Telltale Games,0.04,0.08,0.0,M
Akatsuki no Goei Trinity,PSP,2012.0,Adventure,5pb,0.0,0.0,0.01,E
DS Uranai Seikatsu,DS,2009.0,Misc,Nintendo,0.0,0.0,0.07,E
Minna no Chizu 2,PSP,2007.0,Misc,Zenrin,0.0,0.0,0.02,E
Yoru no Nai Kuni,PS3,2015.0,Role-Playing,Tecmo Koei,0.0,0.0,0.05,E
Secret Game Portable,PSP,2010.0,Adventure,Yeti,0.0,0.0,0.01,E
Patapon 2,PSP,2008.0,Misc,Sony Computer Entertainment,0.0,0.03,0.06,E
House M.D.,DS,2010.0,Adventure,Mindscape,0.02,0.0,0.0,T
Sniper: Ghost Warrior,X360,2010.0,Shooter,City Interactive,0.54,0.5,0.0,M
Dawn of Heroes,DS,2010.0,Role-Playing,Majesco Entertainment,0.07,0.0,0.0,E10+
UNO / Skip-Bo / UNO Freefall,DS,2006.0,Misc,Zoo Digital Publishing,0.1,0.0,0.0,E
Sherlock Holmes: Secret of The Silver Earring,Wii,2010.0,Adventure,Focus Home Interactive,0.0,0.03,0.0,E
Max Payne 2: The Fall of Max Payne,XB,2003.0,Shooter,Take-Two Interactive,0.47,0.15,0.0,M
Conception II: Children of the Seven Stars,3DS,2013.0,Role-Playing,Screenlife,0.09,0.0,0.03,M
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PS2,2009.0,Shooter,Activision,0.25,0.01,0.0,E
Conflict: Desert Storm,GC,2003.0,Shooter,SCi,0.06,0.02,0.0,T
Mobile Suit Gundam Seed Destiny: Rengou vs. Z.A.F.T. II Plus,PS2,2006.0,Shooter,Namco Bandai Games,0.0,0.0,0.49,E
The Biggest Loser: Ultimate Workout,X360,2010.0,Sports,THQ,0.73,0.1,0.0,E
Modnation Racers: Road Trip,PSV,2012.0,Racing,Sony Computer Entertainment,0.15,0.09,0.0,E
Payday 2,X360,2013.0,Shooter,505 Games,0.33,0.19,0.0,M
Sentouchu: Densetsu no Shinobi to Survival Battle!,3DS,2013.0,Action,Namco Bandai Games,0.0,0.0,0.35,E
Army Men: Sarge's Heroes 2,N64,2000.0,Shooter,3DO,0.34,0.07,0.0,E
The Sims: Bustin' Out,XB,2003.0,Simulation,Electronic Arts,0.4,0.14,0.0,T
NCAA Football 2004,PS2,2003.0,Sports,Electronic Arts,1.35,0.09,0.0,E
Jig-A-Pix: Wild World,DS,2009.0,Puzzle,Zushi Games,0.03,0.0,0.0,E
Deadpool,XOne,2015.0,Action,Activision,0.09,0.03,0.0,M
Trivial Pursuit,PS2,2009.0,Misc,Electronic Arts,0.09,0.01,0.0,E
Medal of Honor Heroes 2,Wii,2007.0,Shooter,Electronic Arts,0.33,0.04,0.01,T
Deca Sports DS,DS,2009.0,Sports,Hudson Soft,0.07,0.02,0.0,E
Dead or Alive Paradise,PSP,2010.0,Misc,Ubisoft Annecy,0.07,0.02,0.07,M
Chuugaku Eitango Target 1800 DS,DS,2006.0,Misc,IE Institute,0.0,0.0,0.07,E
Assassin's Creed II: Discovery,DS,2009.0,Action,Ubisoft,0.15,0.11,0.0,T
Goodbye Deponia,PC,2013.0,Adventure,Daedalic Entertainment,0.0,0.06,0.0,E
Tennis,NES,1984.0,Sports,Nintendo,0.48,0.11,1.56,E
Cabela's Dangerous Hunts 2,PS2,2005.0,Sports,Activision,0.19,0.15,0.0,T
Alvin and the Chipmunks: Chipwrecked,DS,2011.0,Misc,505 Games,0.06,0.03,0.0,E10+
Space Station Silicon Valley,N64,1997.0,Adventure,Take-Two Interactive,0.12,0.03,0.0,E
NHL 2K3,PS2,2002.0,Sports,Sega,0.1,0.08,0.0,E
Chou-Kuukan Night Pro Yakyuu King(higher JP sales),N64,1996.0,Sports,Imagineer,0.0,0.0,0.22,E
nail'd,PS3,2010.0,Racing,Deep Silver,0.08,0.02,0.0,E10+
Rapala's Fishing Frenzy,Wii,2008.0,Sports,Activision,0.2,0.0,0.0,E
My Animal Centre,Wii,2009.0,Simulation,Deep Silver,0.0,0.02,0.0,E
PGA Tour 97,PS,1996.0,Sports,Electronic Arts,0.16,0.11,0.0,E
SpongeBob SquarePants: Plankton's Robotic Revenge,X360,2013.0,Shooter,Activision,0.04,0.0,0.0,E10+
Raw Danger! (JP sales),PS2,2006.0,Action,505 Games,0.0,0.0,0.06,E
Mystery Dungeon: Shiren the Wanderer,DS,2006.0,Role-Playing,Sega,0.17,0.0,0.33,E
Prince of Persia: The Forgotten Sands,X360,2010.0,Action,Ubisoft,0.3,0.26,0.0,T
Hitman (2016),PS4,2016.0,Action,Square Enix,0.0,0.04,0.0,E
The Amazing Spider-Man 2 (2014),PS4,2014.0,Action,Activision,0.2,0.25,0.02,E
The Naked Brothers Band: The Video Game,Wii,2008.0,Misc,THQ,0.19,0.0,0.0,E
C.O.R.E.,DS,2009.0,Shooter,Graffiti,0.03,0.0,0.0,M
Midway Arcade Treasures: Extended Play,PSP,2005.0,Misc,Midway Games,0.21,0.0,0.0,M
Major Dream: Major Wii Nagero! Gyroball!!,Wii,2008.0,Sports,Takara Tomy,0.0,0.0,0.01,E
Ace Combat: Assault Horizon Legacy,3DS,2011.0,Simulation,Namco Bandai Games,0.1,0.06,0.08,T
Bakugan: Battle Brawlers,Wii,2009.0,Action,Activision,0.59,0.03,0.0,E
Scooby-Doo! Classic Creep Capers,N64,2000.0,Action,THQ,0.3,0.06,0.0,E
Mirror's Edge,X360,2008.0,Platform,Electronic Arts,0.51,0.51,0.01,T
Robert Ludlum's The Bourne Conspiracy,X360,E,Action,Vivendi Games,0.26,0.13,0.0,T
Mega Man Battle Network,GBA,2001.0,Role-Playing,Capcom,0.14,0.05,0.22,E
Need for Speed (2015),PS4,2015.0,Racing,Electronic Arts,0.5,1.5,0.05,E
Remember Me,PC,2013.0,Action,Capcom,0.0,0.05,0.0,M
Hajime no Ippo Portable: Victorious Spirits,PSP,2007.0,Fighting,Grand Prix Games,0.0,0.0,0.06,E
Pacific Liberator,Wii,2009.0,Action,Zoo Games,0.03,0.0,0.0,T
MLB 07: The Show,PS3,2007.0,Sports,Sony Computer Entertainment,0.29,0.0,0.0,E
Finding Nemo: Escape to the Big Blue,DS,2006.0,Action,THQ,0.12,0.03,0.0,E
Tom Clancy's Splinter Cell,GC,2003.0,Action,Ubisoft,0.18,0.05,0.0,T
Final Fantasy X-2: International + Last Mission,PS2,2004.0,Role-Playing,Square Enix,0.0,0.0,0.29,E
Worldwide Soccer,SAT,1994.0,Sports,Sega,0.0,0.0,0.06,E
Kids Learn Math: A+ Edition,DS,2011.0,Misc,Unknown,0.14,0.0,0.0,E
Hiiro no Kakera: Shin Tamayori Hime Denshou - Piece of Future,PSP,2011.0,Adventure,Idea Factory,0.0,0.0,0.03,E
Shin Megami Tensei: Persona 3,PS2,2006.0,Role-Playing,Tecmo Koei,0.22,0.03,0.0,M
HotBrain,PSP,2007.0,Puzzle,Midway Games,0.02,0.0,0.0,E
Dragon's Lair 3D: Return to the Lair,XB,2002.0,Platform,Ubisoft,0.04,0.01,0.0,E
Smuggler's Run: Warzones,GC,2002.0,Misc,Take-Two Interactive,0.06,0.02,0.0,T
ESPN NFL Primetime 2002,PS2,2001.0,Sports,Konami Digital Entertainment,0.04,0.03,0.0,E
Wing Commander III: Heart of the Tiger,PS,1996.0,Action,Electronic Arts,0.09,0.06,0.0,E
Mario no Super Picross,SNES,1995.0,Puzzle,Nintendo,0.0,0.0,0.41,E
Renegade Racers,PS,1999.0,Racing,Interplay,0.01,0.01,0.0,E
